
0aca62 	e0:69:95:31:24:2d 	1 (B+G) 	AP 	yes 	15
ACOYTE 	98:fc:11:d1:45:d1 	9 (B+G) 	AP 	yes 	20
ACOYTE 	98:fc:11:d1:45:d1 	9 (B+G) 	AP 	yes 	20 	
ACOYTE 	98:fc:11:d1:45:d1 	9 (B+G) 	AP 	yes 	24
ACOYTE 	98:fc:11:d1:45:d1 	9 (B+G) 	AP 	yes 	24 	
ACOYTE 	98:fc:11:d1:45:d1 	9 (B+G) 	AP 	yes 	26 	
ACOYTE 	98:fc:11:d1:45:d1 	9 (B+G) 	AP 	yes 	29 	
ACOYTE 	98:fc:11:d1:45:d1 	9 (B+G) 	AP 	yes 	30 	
ACOYTE 	98:fc:11:d1:45:d1 	9 (B+G) 	AP 	yes 	32 	
ACOYTE 	98:fc:11:d1:45:d1 	9 (B+G) 	AP 	yes 	33 	
ACOYTE 	98:fc:11:d1:45:d1 	9 (B+G) 	AP 	yes 	35 	
AdrielWifiNew 	54:e6:fc:e6:65:54 	9 (B+G) 	AP 	yes 	16 	
AdrielWifiNew 	54:e6:fc:e6:65:54 	9 (B+G) 	AP 	yes 	20 	
AJW 	00:0f:a3:f2:3d:53 	2 (B+G) 	AP 	yes 	12
AJW 	00:0f:a3:f2:3d:53 	2 (B+G) 	AP 	yes 	15 	
AJW 	00:0f:a3:f2:3d:53 	2 (B+G) 	AP 	yes 	20 	
alfredo-wifi 	00:15:ec:13:e1:54 	1 (B+G) 	AP 	yes 	15 	
alfredo-wifi 	00:15:ec:13:e1:54 	1 (B+G) 	AP 	yes 	16
alfredo-wifi 	00:15:ec:13:e1:54 	1 (B+G) 	AP 	yes 	16 	
alfredo-wifi 	00:15:ec:13:e1:54 	1 (B+G) 	AP 	yes 	18 	
alfredo-wifi 	00:15:ec:13:e1:54 	1 (B+G) 	AP 	yes 	20 	
Almada 	00:0e:2e:4a:63:ff 	6 (B+G) 	AP 	yes 	16 	
Almada 	00:0e:2e:4a:63:ff 	6 (B+G) 	AP 	yes 	20 	
Almada 	00:0e:2e:4a:63:ff 	6 (B+G) 	AP 	yes 	32 	
andamios 	50:67:f0:a9:2b:98 	1 (B+G) 	AP 	yes 	13 	
andamios 	50:67:f0:a9:2b:98 	1 (B+G) 	AP 	yes 	18 	
andamios 	50:67:f0:a9:2b:98 	1 (B+G) 	AP 	yes 	23 	
AndreA 	00:22:6b:48:1d:f3 	6 (B+G) 	AP 	yes 	21 	
ANDREU 	00:19:e0:64:8e:f8 	6 (B+G) 	AP 	yes 	16 	
ANDREU 	00:19:e0:64:8e:f8 	6 (B+G) 	AP 	yes 	20 	
ANDREU 	00:19:e0:64:8e:f8 	6 (B+G) 	AP 	yes 	23 	
arielbart 	b0:48:7a:b1:ce:80 	6 (B+G) 	AP 	yes 	29 	
arwen 	00:30:4f:76:7c:70 	6 (B+G) 	AP 	yes 	20 	
arwen 	00:30:4f:76:7c:70 	6 (B+G) 	AP 	yes 	23 	
arwen 	00:30:4f:76:7c:70 	6 (B+G) 	AP 	yes 	30 	
asipronet-1piso 	00:13:10:32:c2:8c 	3 (B+G) 	AP 	yes 	29 	
asipronet-1piso 	00:13:10:32:c2:8c 	3 (B+G) 	AP 	yes 	30 	
asipronet-1piso 	00:13:10:32:c2:8c 	3 (B+G) 	AP 	yes 	32 	
Atlanta 	00:21:63:07:31:ae 	1 (B+G) 	AP 	yes 	13 	
Avellaneda 	00:50:18:4e:8a:d0 	9 (B+G) 	AP 	yes 	12
Avellaneda 	00:50:18:4e:8a:d0 	9 (B+G) 	AP 	yes 	15 	
baldocita 	00:15:ec:10:bb:ac 	11 (B+G) 	AP 	yes 	2
baldocita 	00:15:ec:10:bb:ac 	11 (B+G) 	AP 	yes 	21
baldocita 	00:15:ec:10:bb:ac 	11 (B+G) 	AP 	yes 	21 	
baldocita 	00:15:ec:10:bb:ac 	11 (B+G) 	AP 	yes 	23
baldocita 	00:15:ec:10:bb:ac 	11 (B+G) 	AP 	yes 	23 	
baldocita 	00:15:ec:10:bb:ac 	11 (B+G) 	AP 	yes 	24 	
baldocita 	00:15:ec:10:bb:ac 	11 (B+G) 	AP 	yes 	27 	
baldocita 	00:15:ec:10:bb:ac 	11 (B+G) 	AP 	yes 	29 	
